channel_tag,label,patient_id,condition,source,confidence,project_id,role,protomix_status,organ,disease
126,126–131N = cell line conditions,reference_126,126–131N = cell line conditions,csv:TMT Channels Comparison,0.5,PDC000317,reference,complete,Hematopoietic system,Acute Myeloid Leukemia
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000317,reference,complete,Hematopoietic system,Acute Myeloid Leukemia
131N,cell line conditions,,cell line conditions,csv:TMT Channels Comparison,0.8,PDC000317,,complete,Hematopoietic system,Acute Myeloid Leukemia
126,126–131N = biopsy samples,reference_126,126–131N = biopsy samples,csv:TMT Channels Comparison,0.5,PDC000325,reference,complete,Breast,Breast invasive carcinoma
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000325,reference,complete,Breast,Breast invasive carcinoma
131N,biopsy samples,,biopsy samples,csv:TMT Channels Comparison,0.8,PDC000325,,complete,Breast,Breast invasive carcinoma
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000342,case,complete,Cervix,Cervical cancer
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000342,reference,complete,Cervix,Cervical cancer
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000342,,complete,Cervix,Cervical cancer
126,126–130C = tumor/normal samples,control_126,126–130C = tumor/normal samples,csv:TMT Channels Comparison,0.5,PDC000356,control,complete,Liver,Cholangiocarcinoma
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000356,reference,complete,Liver,Cholangiocarcinoma
130C,tumor/normal samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000356,,complete,Liver,Cholangiocarcinoma
126,126–131N = FFPE tumor samples,case_126,126–131N = FFPE tumor samples,csv:TMT Channels Comparison,0.5,PDC000358,case,complete,Ovary,High-Grade Serous Ovarian Carcinoma
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000358,reference,complete,Ovary,High-Grade Serous Ovarian Carcinoma
131N,FFPE tumor samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000358,,complete,Ovary,High-Grade Serous Ovarian Carcinoma
126,126–131N = FFPE tumor samples (10 per plex),case_126,126–131N = FFPE tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000360,case,complete,Ovary,High-Grade Serous Ovarian Carcinoma
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000360,reference,complete,Ovary,High-Grade Serous Ovarian Carcinoma
131N,FFPE tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000360,,complete,Ovary,High-Grade Serous Ovarian Carcinoma
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000362,case,complete,Ovary,High-Grade Serous Ovarian Carcinoma
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000362,reference,complete,Ovary,High-Grade Serous Ovarian Carcinoma
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000362,,complete,Ovary,High-Grade Serous Ovarian Carcinoma
126,126–130C = LCM/macro samples,reference_126,126–130C = LCM/macro samples,csv:TMT Channels Comparison,0.5,PDC000393,reference,complete,Pancreas,Pancreatic ductal adenocarcinoma
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000393,reference,complete,Pancreas,Pancreatic ductal adenocarcinoma
130C,LCM/macro samples,,LCM/macro samples,csv:TMT Channels Comparison,0.8,PDC000393,,complete,Pancreas,Pancreatic ductal adenocarcinoma
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000408,case,complete,Breast,TNBC
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000408,reference,complete,Breast,TNBC
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000408,,complete,Breast,TNBC
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000434,case,complete,Lung,LUAD
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000434,reference,complete,Lung,LUAD
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000434,,complete,Lung,LUAD
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000446,case,complete,Brain,GBM
131C,CompRef (pooled normal brain),reference_131C,CompRef (pooled normal brain),csv:TMT Additional Channels,0.5,PDC000446,reference,complete,Brain,GBM
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000446,,complete,Brain,GBM
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000464,case,complete,Kidney,RCC
131C,CompRef,reference_131C,CompRef,csv:TMT Additional Channels,0.5,PDC000464,reference,complete,Kidney,RCC
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000464,,complete,Kidney,RCC
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000489,case,complete,Lung,LUAD
131C,CompRef,reference_131C,CompRef,csv:TMT Additional Channels,0.5,PDC000489,reference,complete,Lung,LUAD
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000489,,complete,Lung,LUAD
126,126–131N = tumor samples per plex,case_126,126–131N = tumor samples per plex,csv:TMT Channels Comparison,0.5,PDC000514,case,complete,Brain,GBM
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000514,reference,complete,Brain,GBM
